,폐업여부,식당명,방송,주소,자치구_명,행정동_명,최근 10년 외식업 평균영업기간,최근 30년 외식업 평균영업기간,nearest_station,distance_to_nearest_station,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,운영_영업_개월_평균,폐업_영업_개월_평균,월_평균_소득_금액,지출_총금액,비음식 지출_총금액,음식_지출_총금액,총_상주인구_수,총_가구_수,비_아파트_가구_수,총_직장_인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,아파트_평균_시가,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,대학교_수,슈퍼마켓_수,숙박_시설_수,버스_정거장_수,블로그 감성점수(긍부정),블로그 감성점수(자극)
29,0,포썸,맛있는 녀석들,서울 마포구 희우정로 77 (망원동 521),마포구,망원1동,32.4,57.6,망원,724.241893,7508389,3308450,4199938,778732,1663899,1281399,965719,1398045,2127334,1462359,797314,831844,1249856,1039680,82,48,2802536,8400622000,2305193000,3451957000,19151,10174,10174,3153,511,206,2248,1293,282,150,78,102,212810124,95,2,2,,,11,,,,1,23,6.033288,3.886492
30,0,툇마루밥상,수요미식회,서울 송파구 문정1동 46-11,송파구,문정1동,30,50.4,문정,236.1101553,4430657,2097342,2333315,635451,877453,766226,607601,867766,1181808,942914,537330,522734,691637,554234,111,50,3568357,3742224000,1686037000,1049829000,19502,8497,8497,34975,387,205,1106,1185,492,123,53,529,323269052,70,3,1,,,5,1,,,,19,6.327857,4.137722
31,0,피자힐,수요미식회,서울특별시 광진구 워커힐로 177,광진구,광장동,36,60,광나루(장신대),1295.98069,6076289,2773685,3302604,1762688,655553,1160922,901878,965019,1699407,1293981,686671,659938,932750,803540,103,53,5284540,5391707000,2178878000,1397038000,33964,11851,11851,16633,193,32,237,234,72,49,128,1393,701037200,139,5,9,,,9,3,11,,,32,6.400081,4.245878
32,0,유야케도쿄,또간집,서울특별시 서대문구 이화여대3길 28,서대문구,신촌동,34.8,56.4,이대,220.8965677,11433350,4648783,6784567,1163627,1791284,1092561,899697,981388,2365424,2150159,1559861,1615526,2301339,1441039,111,51,3331768,23746518000,11420009000,8792756000,20135,14750,14750,5047,218,715,752,294,104,44,55,65,177165248,368,6,10,1,,22,1,109,,3,60,6.132871,4.067141
33,0,오복순대국,또간집,서울특별시 영등포구 도림로 465,영등포구,문래동,34.8,51.6,문래,370.0164033,9256968,4484810,4772158,1207128,1876656,1827206,1366861,1709052,1797417,1906534,1361775,1397267,1749843,1044133,105,54,4019445,12273256000,5919834000,4513351000,32022,13095,13095,81647,99,,42,12,47,282,229,581,674800000,185,8,9,,,17,,,,2,56,6.117698,4.020154
34,0,산청엔흑돼지,또간집,서울 마포구 포은로 110,마포구,망원1동,32.4,57.6,망원,476.1317228,7508389,3308450,4199938,778732,1663899,1281399,965719,1398045,2127334,1462359,797314,831844,1249856,1039680,82,48,2802536,8400622000,2305193000,3451957000,19151,10174,10174,3153,511,206,2248,1293,282,150,78,102,212810124,95,2,2,,,11,,,,1,23,6.110099,3.988618
35,0,대관원,수요미식회,서울특별시 영등포구 당산동4가 49 2 층,영등포구,당산2동,36,55.2,영등포구청,427.9798399,8619875,4075087,4544787,1218940,1947546,1427072,1063235,1394028,2195045,1856178,1030050,1024297,1417847,1096457,108,52,4130932,9346682000,4292333000,3115423000,36667,18864,18864,14108,209,110,530,227,67,43,161,1072,525836586,192,6,4,,,20,3,,,,46,6.204043,4.143692
36,0,계동피자,6시내고향,서울특별시 종로구 계동길 63,종로구,가회동,40.8,66,안국,423.5360604,1322344,648513,673830,214652,235180,245909,205444,236209,206297,292850,248602,250464,215854,108274,106,60,3479766,3335124000,785801000,1878184000,3849,1903,1903,11728,126,127,452,153,27,17,7,47,284759882,63,5,3,,,1,1,1,,,22,6.014421,3.867624
37,0,신촌즉석생우동,생활의달인,서울특별시 마포구 용강동 대흥로 38,마포구,대흥동,32.4,55.2,대흥(서강대앞),495.0891584,7783771,3545907,4237864,1057608,1267612,1096641,860162,1084573,1836375,1637060,1008556,1008123,1349951,943707,105,54,3421062,6323487000,3547478000,1540338000,14719,8823,8823,5628,73,41,258,149,68,15,1,93,290729719,209,5,5,,,18,,27,,3,38,5.835303,4.251987
38,0,피자리움,생활의달인,서울 강남구 밤고개로23길 20,강남구,세곡동,33.6,48,수서,1542.728095,3494066,1577066,1917001,951231,501530,591919,415434,703447,980043,732831,382118,380919,546985,471168,80,45,3885403,6320703000,3378456000,1257752000,45513,19381,19381,1534,208,,22,110,117,233,172,1866,816718603,191,4,1,,,9,3,,,,95,6.133374,4.009418
39,0,오복함흥냉면,골목식당,서울특별시 용산구 남영동 한강대로84길 4,용산구,남영동,40.8,63.6,숙대입구(갈월),138.8285063,1900522,985114,915408,143234,386663,322169,311236,410828,373938,415438,286989,283723,335150,205283,119,58,3183091,48860973000,43521329000,3364939000,6819,4845,4845,21173,78,7,51,130,149,138,48,49,398414266,147,7,5,,,14,,,,12,26,5.996843,4.027931
