restaurant,sensitiment_score
남매집,"(103.0, 11.0, 0.10679611650485436)"
남산와이너리,"(128.0, 14.0, 0.109375)"
남포면옥,"(221.0, 30.0, 0.13574660633484162)"
남한강민물매운탕,"(113.0, 18.0, 0.1592920353982301)"
낭만부대찌개,"(63.0, 8.0, 0.12698412698412698)"
논고을,"(151.0, 12.0, 0.07947019867549669)"
논현양꼬치,"(101.0, 7.0, 0.06930693069306931)"
뉴오더클럽,"(109.0, 15.0, 0.13761467889908258)"
능금산장,"(38.0, 1.0, 0.02631578947368421)"
능동국시,"(71.0, 10.0, 0.14084507042253522)"
능라밥상,"(31.0, 6.0, 0.1935483870967742)"
다모아분식,"(37.0, 6.0, 0.16216216216216217)"
다성 대게킹크랩,"(62.0, 24.0, 0.3870967741935484)"
단디 연남점,"(34.0, 8.0, 0.23529411764705882)"
단스시,"(96.0, 28.0, 0.2916666666666667)"
담택,"(180.0, 33.0, 0.18333333333333332)"
당산오돌,"(122.0, 20.0, 0.16393442622950818)"
대낚식당,"(82.0, 17.0, 0.2073170731707317)"
대련집,"(97.0, 19.0, 0.1958762886597938)"
대복,"(46.0, 5.0, 0.10869565217391304)"
대흥양다리바베큐,"(74.0, 8.0, 0.10810810810810811)"
더마칸,"(97.0, 9.0, 0.09278350515463918)"
더보일러스,"(135.0, 20.0, 0.14814814814814814)"
더빛남,"(71.0, 11.0, 0.15492957746478872)"
도우대디,"(58.0, 4.0, 0.06896551724137931)"
돈암순대,"(26.0, 1.0, 0.038461538461538464)"
동네함박,"(66.0, 12.0, 0.18181818181818182)"
동해루,"(63.0, 8.0, 0.12698412698412698)"
동해해물탕,"(27.0, 3.0, 0.1111111111111111)"
두꺼비집,"(135.0, 28.0, 0.2074074074074074)"
들마루가마솥순대국,"(13.0, 1.0, 0.07692307692307693)"
딩딤1968,"(110.0, 31.0, 0.2818181818181818)"
딸랏롯빠이,"(67.0, 12.0, 0.1791044776119403)"
땡스컵밥,"(19.0, 4.0, 0.21052631578947367)"
떡도리탕,"(94.0, 16.0, 0.1702127659574468)"
떡산,"(41.0, 21.0, 0.5121951219512195)"
라까예,"(72.0, 13.0, 0.18055555555555555)"
라도집,"(64.0, 6.0, 0.09375)"
라스위스,"(101.0, 23.0, 0.22772277227722773)"
라화쿵부,"(42.0, 12.0, 0.2857142857142857)"
락희돈,"(105.0, 18.0, 0.17142857142857143)"
란주칼면,"(73.0, 29.0, 0.3972602739726027)"
레알라면,"(58.0, 18.0, 0.3103448275862069)"
레이키친,"(24.0, 3.0, 0.125)"
레츠잇치킨,"(95.0, 5.0, 0.05263157894736842)"
로쏘1924,"(102.0, 25.0, 0.24509803921568626)"
루비떡볶이,"(90.0, 32.0, 0.35555555555555557)"
류몽민,"(191.0, 12.0, 0.06282722513089005)"
르블란서,"(108.0, 14.0, 0.12962962962962962)"
마녀주방,"(180.0, 37.0, 0.20555555555555555)"
마담밍,"(115.0, 17.0, 0.14782608695652175)"
마리모,"(34.0, 1.0, 0.029411764705882353)"
마몽함박,"(88.0, 6.0, 0.06818181818181818)"
마이클식당,"(52.0, 10.0, 0.19230769230769232)"
마포나룻가,"(24.0, 4.0, 0.16666666666666666)"
마포소문난원조족발,"(157.0, 19.0, 0.12101910828025478)"
마포옥,"(106.0, 25.0, 0.2358490566037736)"
만나손칼국수,"(140.0, 17.0, 0.12142857142857143)"
만두라,"(84.0, 21.0, 0.25)"
만두만,"(23.0, 7.0, 0.30434782608695654)"
만두향,"(39.0, 4.0, 0.10256410256410256)"
만리성,"(64.0, 24.0, 0.375)"
만복영양솥밥,"(45.0, 5.0, 0.1111111111111111)"
맘맘테이블,"(130.0, 16.0, 0.12307692307692308)"
맛있는 식사,"(30.0, 30.0, 1.0)"
먹자대게,"(122.0, 7.0, 0.05737704918032787)"
멕시칼리,"(120.0, 18.0, 0.15)"
면동떡볶이,"(84.0, 5.0, 0.05952380952380952)"
명동국수,"(24.0, 5.0, 0.20833333333333334)"
명동분식,"(29.0, 0.0, 0.0)"
명화원,"(102.0, 27.0, 0.2647058823529412)"
모녀김밥,"(62.0, 24.0, 0.3870967741935484)"
모코시야,"(84.0, 29.0, 0.34523809523809523)"
목노집,"(88.0, 24.0, 0.2727272727272727)"
목멱산방,"(124.0, 30.0, 0.24193548387096775)"
몽쉐프,"(58.0, 11.0, 0.1896551724137931)"
무탄,"(160.0, 6.0, 0.0375)"
무한자금성,"(43.0, 13.0, 0.3023255813953488)"
밀본,"(93.0, 31.0, 0.3333333333333333)"
밀양손만두,"(40.0, 5.0, 0.125)"
바다식당,"(103.0, 36.0, 0.34951456310679613)"
바삭마차,"(37.0, 4.0, 0.10810810810810811)"
반피차이,"(92.0, 16.0, 0.17391304347826086)"
발리인망원,"(112.0, 20.0, 0.17857142857142858)"
배키욘방,"(65.0, 42.0, 0.6461538461538462)"
뱃고동,"(136.0, 29.0, 0.21323529411764705)"
버거앤치즈,"(52.0, 5.0, 0.09615384615384616)"
버거인,"(98.0, 38.0, 0.3877551020408163)"
버섯집,"(155.0, 30.0, 0.1935483870967742)"
베트남이랑,"(109.0, 27.0, 0.24770642201834864)"
별미볶음,"(159.0, 11.0, 0.06918238993710692)"
별양집,"(111.0, 10.0, 0.09009009009009009)"
복돈이부추삼겹살,"(85.0, 31.0, 0.36470588235294116)"
본점최대포,"(80.0, 24.0, 0.3)"
봉자마라탕,"(84.0, 31.0, 0.36904761904761907)"
봉쥬르,"(47.0, 6.0, 0.1276595744680851)"
부산갈매기,"(138.0, 23.0, 0.16666666666666666)"
북촌김치재,"(113.0, 11.0, 0.09734513274336283)"
붓타야산,"(56.0, 8.0, 0.14285714285714285)"
브릭오븐,"(98.0, 30.0, 0.30612244897959184)"
비나레스토랑,"(219.0, 3.0, 0.0136986301369863)"
